Sector,Unit,ReferenceCurrency,CurrencyYear,EmissionYear,PriceType,Flowable,Context,FlowUUID,FlowAmount,BaseIOLevel
325,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.995589152241838e-05,Summary
326,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.6447431381331872,Summary
326,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.004310840351492148,Summary
326,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.5728462285388554e-05,Summary
327,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,1.424119423601047,Summary
327,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0053399474701358715,Summary
327,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,2.8234926858537956e-05,Summary
331,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.6018225373206564,Summary
331,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.002724744478633712,Summary
331,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.0648476576687963e-05,Summary
332,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.9208717516620364,Summary
332,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.004041378520720723,Summary
332,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.9949569328121083e-05,Summary
333,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.4313273720461293,Summary
333,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0021564307850403617,Summary
333,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,9.118587246709698e-06,Summary
334,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.5322424203532122,Summary
334,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.002939266482461532,Summary
334,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.1966317532994261e-05,Summary
335,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.592160244555371,Summary
335,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0032360716345105163,Summary
335,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.3143381213712643e-05,Summary
3361MV,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.4734280282933556,Summary
3361MV,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.001854706572536998,Summary
3361MV,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.1902643949211902e-05,Summary
3364OT,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.3078059145997871,Summary
3364OT,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0014983914116335902,Summary
3364OT,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,7.015544090714498e-06,Summary
337,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.7966584066963457,Summary
337,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.004443083530373487,Summary
337,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,2.370479129242919e-05,Summary
339,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.49356629175067773,Summary
339,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.002897797130913236,Summary
339,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.1611800639627021e-05,Summary
487OS,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.08898440476768722,Summary
487OS,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0005923362446233016,Summary
487OS,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,3.863185859168487e-06,Summary
511,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.11582611539325144,Summary
